,Product,Cost
0,50pcs Tibetan Silver Metal Charms Loose Spacer Beads Wholesale Jewelry Findings,$1.09
1,Series I lot natural gemstone spacer loose beads 4mm 6mm 8mm 10mm round stone,$1.08
2,Natural Gemstone Round Spacer Loose Beads 4mm 6mm 8mm 10mm 12mm Assorted Stones,$1.47
3,"Natural 7-8mm Freeform Gemstone Chips Beads For Jewelry Making Strand 34""&15""",$2.31
4,Rondelle Faceted Crystal Glass Loose Spacer Beads Wholesale 3mm/4mm/6mm/8mm/10mm,$1.10
5,Lot of 2500pcs Economical 11/0 Rocaille 1.8mm Small Round Glass Seed Beads DIY,$1.59
6,Rondelle Faceted Jade Crystal Glass Loose Spacer Beads 3/4/6/8/10mm Jewelry DIY,$1.05
7,100pcs Top Quality Czech Glass Pearl Round Beads 3mm 4mm 6mm 8mm 10mm 12mm 14mm,$1.82
8,Czech  22g 2mm/3mm/4mm Round Lot Colorful Glass Seed Beads DIY Jewelry Making,$1.01
9,5M Wedding Pearl Acrylic Bead Plastic Garland Rope Wedding Party Decoration NEW,$1.21
10,Bulk Gemstones I natural spacer stone beads DIY 4mm 6mm 8mm 10mm jewelry design,$1.28
11,Wholesale Silver Tone Key Rings Chains Split Ring Hoop Metal Loop Accessory 25mm,$1.56
12,Natural Gemstones 2mm & 3mm Round Spacer Seed Beads 15.5'' Jewelry Design Crafts,$1.23
13,Round Wood Spacer Bead Natural Unpainted Wooden Ball Beads DIY Craft Jewelry,$1.69
14,Wholesale 3mm/4mm/6mm/8mm Bicone Faceted 5301# Crystal Glass Loose Spacer Beads,$1.35
15,Wholesale Bulk 8mm Natural Volcanic Lava Rock Gemstone Loose Spacer Round Beads,$2.52
16,4mm 5mm 6mm 8mm 10mm 12mm Jump Rings Open Connectors 6Colors,$0.76
17,4mm 6mm 8mm 10mm 12mm Natural Quartz Gemstone Round Spacer Stone Loose Beads DIY,$1.15
18,0.8mm Nylon Cord Thread Chinese Knot Macrame Rattail Bracelet Braided String 45M,$1.34
19,New 4mm 6mm 8mm 10mm DIY Acrylic Round Pearl Spacer Loose Beads Jewelry Making,$0.99
20,4mm 5mm 6mm 8mm 10mm 12mm Charms Metal Loose Spacer Beads DIY Findings Wholesale,$1.59
21,Bulk Wholesale 6mm/8mm/10mm/12mm Charms Round Glass Loose Spacer Beads Findings,$0.99
22,10yd Wholesale 3mm Suede Leather String Jewelry Making Bracelet DIY Thread Cord,$0.76
23,Series II lot natural gemstone spacer loose beads 4mm 6mm 8mm 10mm round stone,$1.28
24,Wholesale 1000pcs 2mm DIY Lots Charm Czech Glass Seed beads Jewelry Making Craft,$0.99
25,Natural Gemstone Round Spacer Loose Beads 4mm 6mm 8mm 10mm 12mm Assorted Stones,$1.38
26,Wholesale 3-14mm Mixed Color ABS Plastic Pearl With Hole Beads Accessories DIY,$1.89
27,3mm Chinese Knot Satin Nylon Braided Cord Macrame Beading Rattail Thread Cords ,$0.99
28,Lot Vintage Tibet Silver Peacock Elephant Animal Pendant Charms Jewelry Findings,$1.47
29,Wholesale Antique Silver Beautiful Jewelry Charms Pendant Carfts DIY Finding,$0.99
30, 1200Pcs gold and silver Czech Glass Seed Spacer Beads For Jewelry Making 2mm,$0.99
31,GB 400Pcs White Letter/ Alphabet Acrylic Beads For Bracelet DIY 7mm,$2.18
32,2 Pack Elastic Stretchy Beading Thread Cord Bracelet String For Jewelry Making,$0.76
33,10/12/14/16/18/21mm Jewelry Loose Lobster Clasp For Necklace Bracelet Making DIY,$0.99
34,Czech Opaque Coated Glass Pearl Round Beads 16'' 4mm 6mm 8mm 10mm 12mm 14mm 16mm,$1.37
35,Natural Matte Frosted Gemstone Round Loose Beads 15'' 4mm 6mm 8mm 10mm 12mm ,$2.72
36,Teardrop Faceted Crystal Glass Charms Loose Spacer Beads 3mm 5mm 8mm 10mm 12mm,$1.59
37,925 Sterling Silver Round Seamless Bead Spacer Loose DIY Craft 2 3 4 5 6 7 8 mm,$2.99
38,Wholesale Natural Gemstone Round Spacer Loose Beads 4mm 6mm 8mm 10mm 12mm Pick,$1.69
39,550pcs UV Reactive Plastic Pony Beads Multi Color Changing Glow Making Bracelets,$3.75
40,Wholesale Natural Round Wood Spacer Wooden Beads Jewelry Finding 8 Size U Pick,$1.40
41,5mm Twist Nylon Rope String Cord Twine Rope DIY Making Bracelet Synthetic Silk,$2.48
42,Hot Tibetan Silver Bead Charm Bracelet Pendants Jewelry DIY Crafts Making ,$0.76
43,Tibetan Silver bails Charm Pendant Bail Connectors Connector  39Styles,$2.08
44,Natural Black Volcanic Lava Gemstone Round Beads 15.5'' 4mm 6mm 8mm 10mm 12mm ,$1.34
45,Series III lot natural matte gemstone spacer loose beads 4mm 6mm 8mm 10mm stone,$2.29
46,500 Pieces Heavy Duty Rubber Earring Backs Sleeves Holders Stopper Nuts Silicone,$0.80
47,New 3mm/4mm/6mm/8mm/10mm Rondelle Faceted Crystal Glass Spacer Loose Beads,$0.76
